72133,Daniel F. Leite|Fernando Gomide,,Combining Experimentation and Theory,,,,,series/sfsc/TrillasBMK12,https://doi.org/10.1007/978-3-642-24666-1_15,,,series/sfsc/LeiteG12,2018-10-23,,,209-223,,,,,,Evolving Linguistic Fuzzy Models from Data Streams.,db/series/sfsc/TrillasBMK12.html#LeiteG12,2012,,,,
72134,Basar Öztaysi|Eda Boltürk,,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_11,,,series/sfsc/OztaysiB14,2019-03-26,,,243-268,,,,,,Fuzzy Methods for Demand Forecasting in Supply Chain Management.,db/series/sfsc/sfsc313.html#OztaysiB14,2014,,,,
72135,Luís F. Simões|Rita Almeida Ribeiro|Tiago C. Pais,0000-0002-3849-0151|0000-0002-9164-5626,Preferences and Decisions,,,,,series/sfsc/Greco10,https://doi.org/10.1007/978-3-642-15976-3_21,,,series/sfsc/RibeiroPS10,2017-06-09,,,353-367,,,,,,Benefits of Full-Reinforcement Operators for Spacecraft Target Landing.,db/series/sfsc/Grego10.html#RibeiroPS10,2010,,,,
72136,Alexander Mehler|Reinhard Köhler,,Aspects of Automatic Text Analysis,,,,,series/sfsc/2007-209,https://doi.org/10.1007/978-3-540-37522-7_1,,,series/sfsc/MehlerK07,2017-05-16,,,1-29,,,,,,Introduction: Machine Learning in a Semiotic Perspective.,db/series/sfsc/sfsc209.html#MehlerK07,2007,,,,
72137,Cengiz Kahraman|Murat Gülbay|Nihal Erginel|Sevil Sentürk,0000-0001-6346-0387,Production Engineering and Management under Fuzziness,,,,,series/sfsc/Kahraman10,https://doi.org/10.1007/978-3-642-12052-7_18,,,series/sfsc/KahramanGES10,2018-11-02,,,431-456,,,,,,Fuzzy Statistical Process Control Techniques in Production Systems.,db/series/sfsc/Kahraman10.html#KahramanGES10,2010,,,,
72139,Oliver Thomas|Thorsten Dollmann,,Soft Computing in XML Data Management,,,,,series/sfsc/Ma10,https://doi.org/10.1007/978-3-642-14010-5_9,,,series/sfsc/ThomasD10,2017-05-16,,,227-257,,,,,,Fuzzy-EPC Markup Language: XML Based Interchange Formats for Fuzzy Process Models.,db/series/sfsc/Ma10.html#ThomasD10,2010,,,,
72140,Eduardo Gómez-Ramírez|Francisco Rivero-Angeles,0000-0001-8491-4114,Hybrid Intelligent Systems,,,,,series/sfsc/2007-208,https://doi.org/10.1007/978-3-540-37421-3_22,,,series/sfsc/Rivero-AngelesG07,2017-09-16,,,357-383,,,,,,Acceleration Output Prediction of Buildings Using a Polynomial Artificial Neural Network.,db/series/sfsc/sfsc208.html#Rivero-AngelesG07,2007,,,,
72141,Gwendolin Wilke,,Towards the Future of Fuzzy Logic,,,,,series/sfsc/2015-325,https://doi.org/10.1007/978-3-319-18750-1_6,,,series/sfsc/Wilke15,2017-05-16,,,79-115,,,,,,Granular Geometry.,db/series/sfsc/sfsc325.html#Wilke15,2015,,,,
72142,K. Srikanta Murthy|Kusuma Mohanchandra|Snehanshu Saha,,Advances in Chaos Theory and Intelligent Control,,,,,series/sfsc/2016-337,https://doi.org/10.1007/978-3-319-30340-6_25,,,series/sfsc/MohanchandraSM16,2017-05-16,,,609-625,,,,,,Evidence of Chaos in EEG Signals: An Application to BCI.,db/series/sfsc/sfsc337.html#MohanchandraSM16,2016,,,,
72143,Jürgen Rolshoven,,Aspects of Automatic Text Analysis,,,,,series/sfsc/2007-209,https://doi.org/10.1007/978-3-540-37522-7_14,,,series/sfsc/Rolshoven07,2017-05-16,,,301-320,,,,,,Licensing Strategies in Natural Language Processing.,db/series/sfsc/sfsc209.html#Rolshoven07,2007,,,,
72144,Christian Moewes|Rudolf Kruse,,Soft Computing: State of the Art Theory and Novel Applications,,,,,series/sfsc/2013-291,https://doi.org/10.1007/978-3-642-34922-5_8,,,series/sfsc/MoewesK13,2017-05-16,,,105-112,,,,,,Evolutionary Fuzzy Rules for Ordinal Binary Classification with Monotonicity Constraints.,db/series/sfsc/sfsc291.html#MoewesK13,2013,,,,
72145,Asheesh K. Singh|Pradeep Kumar,,Complex System Modelling and Control Through Intelligent Soft Computations,,,,,series/sfsc/2015-319,https://doi.org/10.1007/978-3-319-12883-2_21,,,series/sfsc/KumarS15,2017-05-16,,,597-625,,,,,,Soft Computing Techniques for Optimal Capacitor Placement.,db/series/sfsc/sfsc319.html#KumarS15,2015,,,,
72146,Alexandre Barin|Breno Wottrich|Karine M. Magnago|Luciane Neves Canha|Manuel A. Matos,0000-0002-2195-6015|0000-0002-8207-2686,Soft Computing in Green and Renewable Energy Systems,,,,,series/sfsc/GopalKK11,https://doi.org/10.1007/978-3-642-22176-7_7,,,series/sfsc/BarinCMMW11,2018-12-19,,,183-198,,,,,,A Novel Fuzzy-Based Methodology for Biogas Fuelled Hybrid Energy Systems Decision Making.,db/series/sfsc/GopalKK11.html#BarinCMMW11,2011,,,,
72147,Cengiz Kahraman|Ihsan Kaya,,Production Engineering and Management under Fuzziness,,,,,series/sfsc/Kahraman10,https://doi.org/10.1007/978-3-642-12052-7_19,,,series/sfsc/KahramanK10,2017-05-16,,,457-481,,,,,,Fuzzy Acceptance Sampling Plans.,db/series/sfsc/Kahraman10.html#KahramanK10,2010,,,,
72148,Bhanu Prasad|Zoran Majkic,,Soft Computing Applications in Industry,,,,,series/sfsc/2008-226,https://doi.org/10.1007/978-3-540-77465-5_17,,,series/sfsc/MajkicP08,2017-05-16,,,331-356,,,,,,Soft Query-Answering Computing in P2P Systems with Epistemically Independent Peers.,db/series/sfsc/sfsc226.html#MajkicP08,2008,,,,
72149,Gleb Beliakov|Simon James,0000-0002-9841-5292|0000-0003-1150-0628,Recent Developments in the Ordered Weighted Averaging Operators,,,,,series/sfsc/Yager11,https://doi.org/10.1007/978-3-642-17910-5_3,,,series/sfsc/BeliakovJ11,2017-06-09,,,29-47,,,,,,Induced Ordered Weighted Averaging Operators.,db/series/sfsc/Yager11.html#BeliakovJ11,2011,,,,
72150,Claudio Moraga,,Combining Experimentation and Theory,,,,,series/sfsc/TrillasBMK12,https://doi.org/10.1007/978-3-642-24666-1_5,,,series/sfsc/Moraga12,2017-05-16,,,61-72,,,,,,An Essay on the Interpretability of Mamdani Systems.,db/series/sfsc/TrillasBMK12.html#Moraga12,2012,,,,
72151,Guillermo de-los-Santos-Torres|Jorge Navarrete-García|Manuel Ramírez-Cortés|Pilar Gómez-Gil,0000-0003-1550-6218,Hybrid Intelligent Systems,,,,,series/sfsc/2007-208,https://doi.org/10.1007/978-3-540-37421-3_17,,,series/sfsc/Gomez-GildNR07,2017-06-09,,,269-281,,,,,,The Role of Neural Networks in the Interpretation of Antique Handwritten Documents.,db/series/sfsc/sfsc208.html#Gomez-GildNR07,2007,,,,
72152,Ketty Peeva,,Imprecision and Uncertainty in Information Representation and Processing,,,,,series/sfsc/2016-332,https://doi.org/10.1007/978-3-319-26302-1_6,,,series/sfsc/Peeva16,2017-05-16,,,73-85,,,,,,Intuitionistic Fuzzy Relational Equations in BL- B L - Algebras.,db/series/sfsc/sfsc332.html#Peeva16,2016,,,,
72153,Dimitar P. Filev|Ronald R. Yager,,Combining Experimentation and Theory,,,,,series/sfsc/TrillasBMK12,https://doi.org/10.1007/978-3-642-24666-1_22,,,series/sfsc/YagerF12,2017-05-16,,,301-327,,,,,,Using Dempster-Shafer Structures to Provide Probabilistic Outputs in Fuzzy Systems Modeling.,db/series/sfsc/TrillasBMK12.html#YagerF12,2012,,,,
72154,Sundarapandian Vaidyanathan,,Advances in Chaos Theory and Intelligent Control,,,,,series/sfsc/2016-337,https://doi.org/10.1007/978-3-319-30340-6_17,,,series/sfsc/Vaidyanathan16c,2017-05-16,,,405-428,,,,,,Dynamic Analysis, Adaptive Control and Synchronization of a Novel Highly Chaotic System with Four Quadratic Nonlinearities.,db/series/sfsc/sfsc337.html#Vaidyanathan16c,,,,
72155,David Peidro|Johannes Hegeman|Manuel Díaz-Madroñero|María del Mar Alemany,0000-0001-8678-6881|0000-0003-1693-2876,Supply Chain Management Under Fuzziness,,,,,series/sfsc/2014-313,https://doi.org/10.1007/978-3-642-53939-8_14,,,series/sfsc/HegemanPAD14,2017-09-16,,,317-353,,,,,,A Decentralized Production and Distribution Planning Model in an Uncertain Environment.,db/series/sfsc/sfsc313.html#HegemanPAD14,2014,,,,
72158,André Paim Lemos|Fernando A. C. Gomide|Rosangela Ballini|Walmir M. Caminhas,,Soft Computing: State of the Art Theory and Novel Applications,,,,,series/sfsc/2013-291,https://doi.org/10.1007/978-3-642-34922-5_18,,,series/sfsc/LemosBCG13,2017-05-16,,,255-268,,,,,,System Modeling and Forecasting with Evolving Fuzzy Algorithms.,db/series/sfsc/sfsc291.html#LemosBCG13,2013,,,,
72159,Seppo J. Ovaska|Xiao Zhi Gao|Xiaolei Wang 0001,,Soft Computing Applications in Industry,,,,,series/sfsc/2008-226,https://doi.org/10.1007/978-3-540-77465-5_5,,,series/sfsc/GaoOW08,2018-06-07,,,93-115,,,,,,Negative Selection Algorithm with Applications in Motor Fault Detection.,db/series/sfsc/sfsc226.html#GaoOW08,2008,,,,
72160,Cyril De Runz|Eric Desjardin,0000-0002-5951-6859,Methods for Handling Imperfect Spatial Information,,,,,series/sfsc/Jeansoulin10,https://doi.org/10.1007/978-3-642-14755-5_13,,,series/sfsc/RunzD10,2017-06-09,,,341-356,,,,,,Imperfect Spatiotemporal Information Analysis in a GIS: Application to Archæological Information Completion Hypothesis.,db/series/sfsc/Jeansoulin10.html#RunzD10,2010,,,,
